"","V1","V2"
"1","hsa:1571","hsa:119391"
"2","hsa:1571","hsa:221357"
"3","hsa:1571","hsa:27306"
"4","hsa:1571","hsa:2938"
"5","hsa:1571","hsa:2939"
"6","hsa:1571","hsa:2940"
"7","hsa:1571","hsa:2941"
"8","hsa:1571","hsa:2944"
"9","hsa:1571","hsa:2946"
"10","hsa:1571","hsa:2947"
"11","hsa:1571","hsa:2948"
"12","hsa:1571","hsa:2949"
"13","hsa:1571","hsa:2950"
"14","hsa:1571","hsa:2952"
"15","hsa:1571","hsa:2953"
"16","hsa:1571","hsa:373156"
"17","hsa:1571","hsa:4257"
"18","hsa:1571","hsa:4258"
"19","hsa:1571","hsa:4259"
"20","hsa:1571","hsa:653689"
"21","hsa:1571","hsa:9446"
"22","hsa:1571","hsa:2052"
"23","hsa:1571","hsa:218"
"24","hsa:1571","hsa:220"
"25","hsa:1571","hsa:221"
"26","hsa:1571","hsa:222"
"27","hsa:1571","hsa:124"
"28","hsa:1571","hsa:125"
"29","hsa:1571","hsa:126"
"30","hsa:1571","hsa:127"
"31","hsa:1571","hsa:128"
"32","hsa:1571","hsa:130"
"33","hsa:1571","hsa:131"
"34","hsa:1571","hsa:10720"
"35","hsa:1571","hsa:10941"
"36","hsa:1571","hsa:54490"
"37","hsa:1571","hsa:54575"
"38","hsa:1571","hsa:54576"
"39","hsa:1571","hsa:54577"
"40","hsa:1571","hsa:54578"
"41","hsa:1571","hsa:54579"
"42","hsa:1571","hsa:54600"
"43","hsa:1571","hsa:54657"
"44","hsa:1571","hsa:54658"
"45","hsa:1571","hsa:54659"
"46","hsa:1571","hsa:574537"
"47","hsa:1571","hsa:7363"
"48","hsa:1571","hsa:7364"
"49","hsa:1571","hsa:7365"
"50","hsa:1571","hsa:7366"
"51","hsa:1571","hsa:7367"
"52","hsa:1571","hsa:79799"
"53","hsa:1571","hsa:1543"
"54","hsa:1571","hsa:1548"
"55","hsa:1571","hsa:1576"
"56","hsa:1571","hsa:1645"
"57","hsa:1571","hsa:3290"
"58","hsa:1571","hsa:873"
"59","hsa:1571","hsa:874"
"60","hsa:1571","hsa:1553"
"61","hsa:1571","hsa:1544"
"62","hsa:119391","hsa:1543"
"63","hsa:119391","hsa:1544"
"64","hsa:119391","hsa:2052"
"65","hsa:119391","hsa:221357"
"66","hsa:119391","hsa:27306"
"67","hsa:119391","hsa:2938"
"68","hsa:119391","hsa:2939"
"69","hsa:119391","hsa:2940"
"70","hsa:119391","hsa:2941"
"71","hsa:119391","hsa:2944"
"72","hsa:119391","hsa:2946"
"73","hsa:119391","hsa:2947"
"74","hsa:119391","hsa:2948"
"75","hsa:119391","hsa:2949"
"76","hsa:119391","hsa:2950"
"77","hsa:119391","hsa:2952"
"78","hsa:119391","hsa:2953"
"79","hsa:119391","hsa:373156"
"80","hsa:119391","hsa:4257"
"81","hsa:119391","hsa:4258"
"82","hsa:119391","hsa:4259"
"83","hsa:119391","hsa:653689"
"84","hsa:119391","hsa:9446"
"85","hsa:119391","hsa:1571"
"86","hsa:119391","hsa:1553"
"87","hsa:119391","hsa:1576"
"88","hsa:119391","hsa:1545"
"89","hsa:119391","hsa:1559"
"90","hsa:119391","hsa:124"
"91","hsa:119391","hsa:125"
"92","hsa:119391","hsa:126"
"93","hsa:119391","hsa:127"
"94","hsa:119391","hsa:128"
"95","hsa:119391","hsa:130"
"96","hsa:119391","hsa:131"
"97","hsa:119391","hsa:218"
"98","hsa:119391","hsa:220"
"99","hsa:119391","hsa:221"
"100","hsa:119391","hsa:222"
"101","hsa:119391","hsa:119391"
"102","hsa:221357","hsa:1543"
"103","hsa:221357","hsa:1544"
"104","hsa:221357","hsa:2052"
"105","hsa:221357","hsa:119391"
"106","hsa:221357","hsa:27306"
"107","hsa:221357","hsa:2938"
"108","hsa:221357","hsa:2939"
"109","hsa:221357","hsa:2940"
"110","hsa:221357","hsa:2941"
"111","hsa:221357","hsa:2944"
"112","hsa:221357","hsa:2946"
"113","hsa:221357","hsa:2947"
"114","hsa:221357","hsa:2948"
"115","hsa:221357","hsa:2949"
"116","hsa:221357","hsa:2950"
"117","hsa:221357","hsa:2952"
"118","hsa:221357","hsa:2953"
"119","hsa:221357","hsa:373156"
"120","hsa:221357","hsa:4257"
"121","hsa:221357","hsa:4258"
"122","hsa:221357","hsa:4259"
"123","hsa:221357","hsa:653689"
"124","hsa:221357","hsa:9446"
"125","hsa:221357","hsa:1571"
"126","hsa:221357","hsa:1553"
"127","hsa:221357","hsa:1576"
"128","hsa:221357","hsa:1545"
"129","hsa:221357","hsa:1559"
"130","hsa:221357","hsa:124"
